tbl_DEXA_Data.Lean,qry_MR_180_Data.Lean,BW
26.3,28.7,31.8
29.4,31.6,35.3
25.6,29.4,31.7
27.4,29.3,34.6
24.7,27.3,29.1
27.8,30.7,34.1
27.6,31.7,32.8
25.3,27.2,32.1
25.6,28.2,32.1
26.5,29.2,36.1
25.9,29,32.6
27,29.4,33.1
28.5,31.7,35.2
23.7,25.7,27.9
24.5,28.2,28.9
23.9,26.4,32.1
25.3,27.3,28.7
22.6,25.2,27
28.1,30.5,32.3
25.1,26.2,30
27.4,31.1,31.8
23.5,26.1,27.7
24.4,27.3,28.3
23.8,27.2,29.1
25.3,28.1,30.7
22.9,25.8,29.2
21.7,24.1,26.5
23,25.8,28
23,26.1,27.9
25.8,29.1,31.5
24.3,27.2,28.7
25.6,27.7,31.1
23.7,26.6,28.9
25.2,28.9,31.8
24.7,26.7,29.9
23.8,25.6,28.9
23.1,25.1,27.7
21.3,23.7,26.4
23.2,25.6,27.4
24.1,26.4,28.7
22.9,25.1,26.8
22.7,24.3,28
24,25.1,29.5
25.3,27.1,33.4
24.4,26.9,30
24.2,26.6,30.2
24.5,26.4,31
25.1,26.8,32
25.5,27.2,32.3
24.5,27.6,31.4
23.2,25.7,28
24.3,26.9,29.6
24,26.1,28.5
22.9,24.7,26.6
25.2,27.6,30.6
24.4,26.9,30.8
23.2,25.9,30.1
27.3,30,32.7
27.8,30.9,33.2
21.7,24.1,27.1
23.1,25.1,27.4
23,24.5,27.1
22.5,24.5,27.7
22.7,25.1,27.9
23.9,26.3,27.8
24.6,27.2,31.6
25.3,28.6,32.5
24.6,27.3,29.9
28.8,30,39
26.8,29,33.3
28,29.9,36.5
28.3,31,38.9
21.1,24.3,25.5
22.3,25.8,27.4
24.2,26.2,29.6
24.5,28,31.1
22.6,24.8,29
21.8,24.4,27.8
22.8,24.2,27.8
23,26.1,31.5
23.9,26.2,28.9
22.8,25.4,27.6
26.1,28.9,32.2
27.6,31.6,36.4
21.6,25,27.2
23.2,26.2,28.8
25.8,28.8,34
26.7,30.4,38.9
23.4,27.4,31.5
25.7,28,37.2
25.8,28.3,33.2
23.9,26.6,30.3
25.6,29.1,34.3
24.9,27.3,32.9
24.5,28.6,33.9
24,27.2,30.8
25.4,28,36.1
26.1,30.2,37.5
23.7,28.3,30.6
24.1,27.4,32.5
25.9,29.6,34.7
24.7,28.2,32.4
18.9,20.8,23
23.1,26.6,29.5
22.8,26.6,29.8
24,27.7,32
21.8,25.5,28.5
22.5,25.4,28.6
23.4,26,28.3
22.4,25.4,31
21.7,23.6,26.5
23.7,26.1,31.7
21.9,25.4,27.6
22.4,26,27.9
21.3,25.4,28.8
23.5,26.6,29.3
23.6,26,30.4
22.4,26.1,30
25.8,28.2,32.5
